"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"214",-1024.21,-5.28112,1.86054,1.00125,0.376482,2.89851,0.655746,1.01245,1.48764,1,0,1,214,214
"215",-1025.04,-1.85219,1.82445,0.950254,0.340919,2.7144,0.602936,0.981023,1.46256,1,0,1,215,215
"216",-1032.09,-6.62308,1.85263,0.985865,0.331855,2.89682,0.546739,0.958576,1.51296,1,0,1,216,216
"217",-1025.96,-6.16386,1.75371,1.00099,0.469335,2.68662,0.639634,1.01406,1.46562,1,0,1,217,217
"218",-1022.55,-1.26547,1.80258,0.995124,0.344082,2.72355,0.621055,0.95872,1.43699,1,0,1,218,218
"219",-1022.43,-1.01421,1.7975,0.998196,0.320127,2.73202,0.591829,0.971092,1.47866,1,0,1,219,219
"220",-1023.35,-1.81061,1.8213,0.957696,0.332954,2.7639,0.626282,0.995175,1.47321,1,0,1,220,220
"221",-1025.34,-3.34372,1.83002,0.998423,0.32755,2.83983,0.630385,1.01507,1.44235,1,0,1,221,221
"222",-1022.09,-0.431345,1.79788,0.988761,0.353055,2.76795,0.597184,0.962517,1.47573,1,0,1,222,222
"223",-1022.98,-1.74225,1.79177,1.00424,0.374896,2.78285,0.639878,1.0109,1.4707,1,0,1,223,223
"224",-1021.79,-1.08844,1.79887,0.98181,0.381957,2.78077,0.638343,0.975862,1.4569,1,0,1,224,224
"225",-1027.26,-4.25243,1.81993,0.951948,0.455116,2.78123,0.648584,0.929222,1.4525,1,0,1,225,225
"226",-1028.72,-7.44395,1.81248,1.03005,0.27071,2.67407,0.625509,1.01482,1.42036,1,0,1,226,226
"227",-1026.62,-2.71816,1.82548,0.974577,0.391343,2.73318,0.67826,0.963659,1.44486,1,0,1,227,227
